mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_metric;param_n_neighbors;param_weights;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
0.004596889019012451;0.003060342243649679;0.010760962963104248;0.0012721789110746414;minkowski;2;uniform;{'metric': 'minkowski', 'n_neighbors': 2, 'weights': 'uniform'};0.9406862745098039;0.9705882352941176;0.9409536541889482;0.9388888888888889;0.9477792632204396;0.013192681591633516;11
0.0040811896324157715;0.001117106714322943;0.008489370346069336;0.0015909458570139245;minkowski;2;distance;{'metric': 'minkowski', 'n_neighbors': 2, 'weights': 'distance'};0.970527341371331;1.0;0.9409536541889482;0.9393939393939394;0.9627187337385547;0.024842664341001793;3
0.003425776958465576;0.000948085942413476;0.009677648544311523;0.0019634149761383404;minkowski;3;uniform;{'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'uniform'};1.0;1.0;0.9409536541889482;0.9089026915113871;0.9624640864250839;0.03920909121585678;7
0.003437221050262451;0.0009325015044875825;0.00934058427810669;0.0031785795717819932;minkowski;3;distance;{'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'distance'};1.0;1.0;0.9409536541889482;0.9089026915113871;0.9624640864250839;0.03920909121585678;7
0.0031403303146362305;0.0010816253657846386;0.0102042555809021;0.0023567422348756257;minkowski;4;uniform;{'metric': 'minkowski', 'n_neighbors': 4, 'weights': 'uniform'};0.970527341371331;1.0;0.9409536541889482;0.9388888888888889;0.962592471112292;0.024961888908775084;5
0.003474414348602295;0.0006003656623106445;0.00844639539718628;0.0022492243873979217;minkowski;4;distance;{'metric': 'minkowski', 'n_neighbors': 4, 'weights': 'distance'};1.0;1.0;0.9409536541889482;0.9393939393939394;0.9700868983957219;0.029918184041951575;1
0.003699362277984619;0.0009586394279918202;0.012415587902069092;0.0029601076014910666;euclidean;2;uniform;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'};0.9406862745098039;0.9705882352941176;0.9409536541889482;0.9388888888888889;0.9477792632204396;0.013192681591633516;11
0.0032886266708374023;0.0006826150113787291;0.007826566696166992;0.0005877960450622928;euclidean;2;distance;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'};0.970527341371331;1.0;0.9409536541889482;0.9393939393939394;0.9627187337385547;0.024842664341001793;3
0.003244161605834961;0.0005364775380841795;0.00908893346786499;0.0012602483073632248;euclidean;3;uniform;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'};1.0;1.0;0.9409536541889482;0.9089026915113871;0.9624640864250839;0.03920909121585678;7
0.0025367140769958496;0.0008559420308338046;0.006511092185974121;0.0015231905898167844;euclidean;3;distance;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};1.0;1.0;0.9409536541889482;0.9089026915113871;0.9624640864250839;0.03920909121585678;7
0.002578139305114746;0.0008024406924580609;0.008520960807800293;0.0013247365555249086;euclidean;4;uniform;{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'};0.970527341371331;1.0;0.9409536541889482;0.9388888888888889;0.962592471112292;0.024961888908775084;5
0.0032614469528198242;0.0004957668991327997;0.008349716663360596;0.000894128437892464;euclidean;4;distance;{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'};1.0;1.0;0.9409536541889482;0.9393939393939394;0.9700868983957219;0.029918184041951575;1
